Project name : GHG500.gmp 	 2018-04-13 12:03 	 by GRMCore2018
Output data : Discharge[CMS]

DataTime	[GHG_md]	[GHG_gh]	[GHG_YCD]	Rainfall_Mean	FromStarting[sec]
2016-09-02 16:00	19	8.45	6	0.00	0
2016-09-02 16:10	19	8.55	6	0.03	0
2016-09-02 16:20	19	8.69	6	0.07	0
2016-09-02 16:30	19.06	8.85	6	0.19	0
2016-09-02 16:40	19.06	9.03	5	0.22	1
2016-09-02 16:50	19.06	9.22	6	0.18	1
2016-09-02 17:00	19.09	9.41	6	0.14	1
2016-09-02 17:10	19.08	9.6	6	0.18	1
2016-09-02 17:20	19.07	9.81	6	0.13	2
2016-09-02 17:30	19.13	10.01	5	0.15	2
2016-09-02 17:40	19.18	10.22	6	0.24	2
2016-09-02 17:50	19.2	10.41	6	0.20	2
2016-09-02 18:00	19.19	10.61	6	0.23	3
2016-09-02 18:10	19.21	10.8	6	0.23	3
2016-09-02 18:20	19.23	10.99	6	0.15	3
2016-09-02 18:30	19.27	11.19	6	0.23	3
2016-09-02 18:40	19.34	11.38	6	0.41	4
2016-09-02 18:50	19.45	11.58	6	0.58	4
2016-09-02 19:00	19.48	11.79	6	0.35	4
2016-09-02 19:10	19.54	12.01	6	0.40	5
2016-09-02 19:20	19.62	12.24	6	0.40	5
2016-09-02 19:30	19.91	12.46	6	0.39	5
2016-09-02 19:40	20.07	12.71	6	0.37	5
2016-09-02 19:50	20.04	12.96	6	0.36	6
2016-09-02 20:00	20.19	13.23	6	0.37	6
2016-09-02 20:10	20.23	13.5	6	0.36	6
2016-09-02 20:20	20.3	13.76	6	0.27	6
2016-09-02 20:30	20.42	14.04	5	0.37	7
2016-09-02 20:40	20.49	14.32	6	0.41	7
2016-09-02 20:50	20.54	14.61	6	0.41	7
2016-09-02 21:00	20.56	14.91	6	0.46	8
2016-09-02 21:10	20.6	15.23	6	0.29	8
2016-09-02 21:20	20.65	15.57	6	0.26	8
2016-09-02 21:30	20.72	15.96	6	0.20	8
2016-09-02 21:40	20.78	16.31	6	0.23	9
2016-09-02 21:50	20.84	16.66	6	0.25	9
2016-09-02 22:00	20.93	17.02	6	0.27	9
2016-09-02 22:10	21.08	17.38	6	0.23	10
2016-09-02 22:20	21.13	17.74	6	0.22	10
2016-09-02 22:30	21.19	18.11	6	0.28	10
2016-09-02 22:40	21.27	18.49	6	0.35	10
2016-09-02 22:50	21.34	18.87	6	0.34	11
2016-09-02 23:00	21.39	19.25	6	0.60	11
2016-09-02 23:10	21.44	19.72	6	0.55	11
2016-09-02 23:20	21.49	20.25	6	0.52	12
2016-09-02 23:30	21.54	20.7	6	0.37	12
2016-09-02 23:40	21.6	21.18	6	0.33	12
2016-09-02 23:50	21.67	21.69	6	0.27	12
2016-09-03 00:00	21.72	22.23	6	0.24	13
2016-09-03 00:10	21.76	22.79	6	0.24	13
2016-09-03 00:20	21.81	23.37	6	0.31	13
2016-09-03 00:30	21.87	23.96	6	0.36	13
2016-09-03 00:40	21.92	24.58	6	0.43	14
2016-09-03 00:50	21.99	25.21	6	0.49	14
2016-09-03 01:00	22.05	25.87	6	0.78	14
2016-09-03 01:10	22.09	26.56	6	0.49	15
2016-09-03 01:20	22.15	27.25	6	0.48	15
2016-09-03 01:30	22.24	27.99	6	0.50	15
2016-09-03 01:40	22.38	28.76	6	0.50	15
2016-09-03 01:50	22.61	29.58	6	0.50	16
2016-09-03 02:00	22.76	30.42	6	0.60	16
2016-09-03 02:10	22.88	31.32	6	1.00	16
2016-09-03 02:20	23.04	32.28	6	0.58	17
2016-09-03 02:30	23.34	33.28	6	0.52	17
2016-09-03 02:40	23.67	34.31	6	0.83	17
2016-09-03 02:50	24	35.44	6	0.71	18
2016-09-03 03:00	24.2	36.66	6	1.20	18
2016-09-03 03:10	24.45	37.95	6	0.87	18
2016-09-03 03:20	24.67	39.33	6	1.26	18
2016-09-03 03:30	24.88	40.84	6	0.68	19
2016-09-03 03:40	25.08	42.5	6	0.85	19
2016-09-03 03:50	25.29	44.34	6	0.71	19
2016-09-03 04:00	25.52	46.37	6	0.54	20
2016-09-03 04:10	25.74	48.67	6	0.41	20
2016-09-03 04:20	26	51.25	6	0.33	20
2016-09-03 04:30	26.39	54.17	6	0.34	21
2016-09-03 04:40	26.6	57.41	6	0.41	21
2016-09-03 04:50	26.82	61.07	6	0.62	21
2016-09-03 05:00	27.07	65.22	6	0.89	21
2016-09-03 05:10	27.35	70.01	6	1.01	22
2016-09-03 05:20	27.64	75.54	6	1.22	22
2016-09-03 05:30	27.94	82.02	6	1.30	22
2016-09-03 05:40	28.31	89.69	6	1.17	23
2016-09-03 05:50	28.8	98.8	6	1.02	23
2016-09-03 06:00	29.21	109.64	6	0.87	23
2016-09-03 06:10	29.62	122.81	6	1.11	24
2016-09-03 06:20	30.12	138.96	6	0.80	24
2016-09-03 06:30	30.67	158.87	6	0.91	24
2016-09-03 06:40	31.29	183.44	6	0.66	24
2016-09-03 06:50	31.97	213.6	6	0.77	25
2016-09-03 07:00	32.77	249.83	6	0.55	25
2016-09-03 07:10	33.67	291.65	6	0.24	25
2016-09-03 07:20	34.72	338.74	6	0.18	26
2016-09-03 07:30	35.94	389.77	6	0.06	26
2016-09-03 07:40	37.37	442.79	6	0.06	26
2016-09-03 07:50	39.07	496.19	6	0.06	27
2016-09-03 08:00	41.11	549.2	6	0.10	27
2016-09-03 08:10	43.49	601.54	6	0.18	27
2016-09-03 08:20	46.3	652.79	6	0.15	27
2016-09-03 08:30	49.66	702.54	6	0.20	28
2016-09-03 08:40	53.62	749.33	6	0.19	28
2016-09-03 08:50	58.26	791.89	6	0.11	28
2016-09-03 09:00	63.65	828.78	6	0.04	29
2016-09-03 09:10	69.8	859.28	6	0.02	29
2016-09-03 09:20	76.74	882.72	6	0.02	29
2016-09-03 09:30	84.45	899.35	6	0.01	30
2016-09-03 09:40	92.88	909.3	6	0.00	30
2016-09-03 09:50	101.97	912.8	6	0.00	30
2016-09-03 10:00	111.59	910.46	6	0.00	30
2016-09-03 10:10	121.62	902.92	6	0.00	31
2016-09-03 10:20	131.97	890.81	6	0.00	31
2016-09-03 10:30	142.51	874.82	6	0.01	31
2016-09-03 10:40	153.16	855.7	6	0.01	32
2016-09-03 10:50	163.87	834.19	6	0.01	32
2016-09-03 11:00	174.6	810.94	6	0.01	32
2016-09-03 11:10	185.42	786.5	6	0.01	33
2016-09-03 11:20	196.38	761.29	6	0.02	33
2016-09-03 11:30	207.61	735.77	6	0.06	33
2016-09-03 11:40	219.26	710.26	6	0.10	33
2016-09-03 11:50	231.56	685.04	6	0.12	34
2016-09-03 12:00	244.75	660.37	6	0.17	34
2016-09-03 12:10	259.14	636.27	6	0.15	34
2016-09-03 12:20	274.99	612.95	6	0.08	35
2016-09-03 12:30	292.65	590.46	6	0.11	35
2016-09-03 12:40	312.33	568.83	6	0.11	35
2016-09-03 12:50	334.22	548.09	6	0.10	36
2016-09-03 13:00	358.49	528.23	6	0.05	36
2016-09-03 13:10	385.23	509.3	6	0.06	36
2016-09-03 13:20	414.48	491.19	6	0.03	36
2016-09-03 13:30	446.36	473.96	6	0.01	37
2016-09-03 13:40	481	457.56	6	0.00	37
2016-09-03 13:50	518.66	441.93	6	0.00	37
2016-09-03 14:00	559.68	427.06	6	0.00	38
2016-09-03 14:10	604.24	412.9	6	0.00	38
2016-09-03 14:20	652.3	399.42	6	0.00	38
2016-09-03 14:30	703.62	386.61	6	0.00	38
2016-09-03 14:40	757.42	374.4	6	0.00	39
2016-09-03 14:50	812.49	362.81	6	0.00	39
2016-09-03 15:00	867.6	351.76	6	0.00	39
2016-09-03 15:10	920.86	341.32	6	0.00	40
2016-09-03 15:20	971.33	331.42	6	0.00	40
2016-09-03 15:30	1018.46	321.96	6	0.00	40
2016-09-03 15:40	1061.85	312.91	6	0.00	40
2016-09-03 15:50	1101.34	304.25	6	0.00	41
2016-09-03 16:00	1136.87	295.95	6	0.00	41
2016-09-03 16:10	1168.74	288	6	0.00	41
2016-09-03 16:20	1197.04	280.38	6	0.00	42
2016-09-03 16:30	1222.15	273.07	6	0.00	42
2016-09-03 16:40	1244.08	266.06	6	0.00	42
2016-09-03 16:50	1262.96	259.34	6	0.01	42
2016-09-03 17:00	1278.88	252.88	6	0.01	43
2016-09-03 17:10	1291.69	246.69	6	0.01	43
2016-09-03 17:20	1301.52	240.75	6	0.01	43
2016-09-03 17:30	1308.33	235.06	6	0.00	44
2016-09-03 17:40	1312.09	229.62	6	0.00	44
2016-09-03 17:50	1312.99	224.4	6	0.00	44
2016-09-03 18:00	1311.11	219.43	6	0.00	44
2016-09-03 18:10	1306.59	214.76	6	0.00	45
2016-09-03 18:20	1299.71	210.43	6	0.00	45
2016-09-03 18:30	1290.62	206.41	6	0.00	45
2016-09-03 18:40	1279.61	202.64	6	0.00	46
2016-09-03 18:50	1266.92	199.07	6	0.00	46
2016-09-03 19:00	1252.73	195.69	6	0.00	46
2016-09-03 19:10	1237.33	192.46	6	0.00	46
2016-09-03 19:20	1220.9	189.36	6	0.00	47
2016-09-03 19:30	1203.65	186.39	6	0.01	47
2016-09-03 19:40	1185.77	183.53	6	0.00	47
2016-09-03 19:50	1167.36	180.78	6	0.00	48
2016-09-03 20:00	1148.61	178.11	6	0.00	48
2016-09-03 20:10	1129.61	175.54	6	0.00	48
2016-09-03 20:20	1110.48	173.04	6	0.00	49
2016-09-03 20:30	1091.29	170.62	6	0.00	49
2016-09-03 20:40	1072.13	168.27	6	0.00	49
2016-09-03 20:50	1053.09	166	6	0.00	49
2016-09-03 21:00	1034.2	163.78	6	0.00	50
2016-09-03 21:10	1015.48	161.63	6	0.00	50
2016-09-03 21:20	997.01	159.53	6	0.00	50
2016-09-03 21:30	978.79	157.49	6	0.00	50
2016-09-03 21:40	960.89	155.5	6	0.00	51
2016-09-03 21:50	943.26	153.57	6	0.00	51
2016-09-03 22:00	925.99	151.68	6	0.00	51
2016-09-03 22:10	909.03	149.84	6	0.00	52
2016-09-03 22:20	892.44	148.04	6	0.00	52
2016-09-03 22:30	876.18	146.28	6	0.00	52
2016-09-03 22:40	860.28	144.57	6	0.00	52
2016-09-03 22:50	844.74	142.89	6	0.00	53
2016-09-03 23:00	829.56	141.26	6	0.00	53
2016-09-03 23:10	814.73	139.66	6	0.00	53
2016-09-03 23:20	800.25	138.09	6	0.00	54
2016-09-03 23:30	786.15	136.56	6	0.00	54
2016-09-03 23:40	772.37	135.06	6	0.00	54
2016-09-03 23:50	758.94	133.59	6	0.00	55
2016-09-04 00:00	745.85	132.15	6	0.00	55
2016-09-04 00:10	733.09	130.75	6	0.00	55
2016-09-04 00:20	720.66	129.37	6	0.00	55
2016-09-04 00:30	708.58	128.02	6	0.00	56
2016-09-04 00:40	696.8	126.7	6	0.00	56
2016-09-04 00:50	685.34	125.4	6	0.00	56
2016-09-04 01:00	674.19	124.13	6	0.00	57
2016-09-04 01:10	663.34	122.88	6	0.00	57
2016-09-04 01:20	652.79	121.66	6	0.00	57
2016-09-04 01:30	642.54	120.47	6	0.00	57
2016-09-04 01:40	632.61	119.3	6	0.00	58
2016-09-04 01:50	622.95	118.15	6	0.00	58
2016-09-04 02:00	613.56	117.02	6	0.00	58
2016-09-04 02:10	604.44	115.92	6	0.00	59
2016-09-04 02:20	595.58	114.83	6	0.00	59
2016-09-04 02:30	586.98	113.77	6	0.00	59
2016-09-04 02:40	578.62	112.73	6	0.00	59
2016-09-04 02:50	570.5	111.7	6	0.00	60
2016-09-04 03:00	562.61	110.7	6	0.00	60
2016-09-04 03:10	554.95	109.71	6	0.00	60
2016-09-04 03:20	547.51	108.74	6	0.00	61
2016-09-04 03:30	540.27	107.79	6	0.00	61
2016-09-04 03:40	533.24	106.86	6	0.00	61
2016-09-04 03:50	526.4	105.95	6	0.00	61
2016-09-04 04:00	519.76	105.05	6	0.00	62
2016-09-04 04:10	513.29	104.17	6	0.00	62
2016-09-04 04:20	507	103.3	6	0.00	62
2016-09-04 04:30	500.87	102.45	6	0.00	63
2016-09-04 04:40	494.9	101.62	6	0.00	63
2016-09-04 04:50	489.09	100.8	6	0.00	63
2016-09-04 05:00	483.43	100	6	0.00	63
2016-09-04 05:10	477.91	99.21	6	0.00	64
2016-09-04 05:20	472.52	98.44	6	0.00	64
2016-09-04 05:30	467.27	97.68	6	0.00	64
2016-09-04 05:40	462.14	96.94	6	0.00	65
2016-09-04 05:50	457.13	96.21	6	0.00	65
2016-09-04 06:00	452.24	95.49	6	0.00	65
2016-09-04 06:10	447.45	94.79	6	0.00	65
2016-09-04 06:20	442.78	94.1	6	0.00	66
2016-09-04 06:30	438.21	93.42	6	0.00	66
2016-09-04 06:40	433.74	92.76	6	0.00	66
2016-09-04 06:50	429.37	92.11	6	0.00	66
2016-09-04 07:00	425.09	91.47	6	0.00	67
2016-09-04 07:10	420.9	90.84	6	0.00	67
2016-09-04 07:20	416.79	90.23	6	0.00	67
2016-09-04 07:30	412.77	89.62	6	0.00	68
2016-09-04 07:40	408.84	89.03	6	0.00	68
2016-09-04 07:50	404.98	88.45	6	0.00	68
2016-09-04 08:00	401.2	87.88	6	0.00	69
2016-09-04 08:10	397.49	87.32	6	0.00	69
2016-09-04 08:20	393.85	86.77	6	0.00	69
2016-09-04 08:30	390.29	86.23	6	0.00	69
2016-09-04 08:40	386.79	85.7	6	0.00	70
2016-09-04 08:50	383.36	85.19	6	0.00	70
2016-09-04 09:00	379.99	84.68	6	0.00	70
2016-09-04 09:10	376.68	84.18	6	0.00	70
2016-09-04 09:20	373.44	83.69	6	0.00	71
2016-09-04 09:30	370.25	83.21	6	0.00	71
2016-09-04 09:40	367.12	82.74	6	0.00	71
