Project name : GHG500.gmp 	 2018-04-13 12:03 	 by GRMCore2018
Output data : All the results for watch point 'GHG_YCD'

DataTime	Discharge[cms]	BaseFlowDepth[m]	SoilWaterContent[m]	SoilSatR	RFGrid	RFUpMean	FCData	FCResStor
2016-09-02 16:00	       6	0.0692	0.1009	0.9300	0.0000	0.0000	0.00	0.00
2016-09-02 16:10	       6	0.0692	0.1009	0.9300	0.0000	0.0000	0.00	0.00
2016-09-02 16:20	       6	0.0692	0.1009	0.9300	0.0000	0.0000	0.00	0.00
2016-09-02 16:30	       6	0.0692	0.1009	0.9300	0.0000	0.0000	0.00	0.00
2016-09-02 16:40	       5	0.0692	0.1009	0.9300	0.0000	0.0000	0.00	0.00
2016-09-02 16:50	       6	0.0692	0.1009	0.9300	0.3000	0.0003	0.00	0.00
2016-09-02 17:00	       6	0.0692	0.1009	0.9300	0.2000	0.0002	0.00	0.00
2016-09-02 17:10	       6	0.0692	0.1009	0.9300	0.2000	0.0002	0.00	0.00
2016-09-02 17:20	       6	0.0692	0.1009	0.9300	0.2000	0.0002	0.00	0.00
2016-09-02 17:30	       5	0.0692	0.1009	0.9300	0.3000	0.0003	0.00	0.00
2016-09-02 17:40	       6	0.0692	0.1009	0.9300	0.2000	0.0002	0.00	0.00
2016-09-02 17:50	       6	0.0692	0.1009	0.9300	0.1000	0.0001	0.00	0.00
2016-09-02 18:00	       6	0.0692	0.1009	0.9300	0.3000	0.0003	0.00	0.00
2016-09-02 18:10	       6	0.0692	0.1009	0.9300	0.2000	0.0002	0.00	0.00
2016-09-02 18:20	       6	0.0692	0.1009	0.9300	0.1000	0.0001	0.00	0.00
2016-09-02 18:30	       6	0.0692	0.1009	0.9300	0.1000	0.0001	0.00	0.00
2016-09-02 18:40	       6	0.0692	0.1009	0.9300	0.2000	0.0002	0.00	0.00
2016-09-02 18:50	       6	0.0692	0.1009	0.9300	0.3000	0.0003	0.00	0.00
2016-09-02 19:00	       6	0.0692	0.1009	0.9300	0.2000	0.0002	0.00	0.00
2016-09-02 19:10	       6	0.0692	0.1009	0.9300	0.2000	0.0002	0.00	0.00
2016-09-02 19:20	       6	0.0692	0.1009	0.9300	0.3000	0.0003	0.00	0.00
2016-09-02 19:30	       6	0.0692	0.1009	0.9300	0.3000	0.0003	0.00	0.00
2016-09-02 19:40	       6	0.0692	0.1009	0.9300	0.3000	0.0003	0.00	0.00
2016-09-02 19:50	       6	0.0692	0.1009	0.9300	0.2000	0.0002	0.00	0.00
2016-09-02 20:00	       6	0.0692	0.1009	0.9300	0.5000	0.0005	0.00	0.00
2016-09-02 20:10	       6	0.0692	0.1009	0.9300	1.5000	0.0016	0.00	0.00
2016-09-02 20:20	       6	0.0692	0.1009	0.9300	0.7000	0.0007	0.00	0.00
2016-09-02 20:30	       5	0.0692	0.1009	0.9300	0.5000	0.0005	0.00	0.00
2016-09-02 20:40	       6	0.0692	0.1009	0.9300	0.2000	0.0002	0.00	0.00
2016-09-02 20:50	       6	0.0692	0.1009	0.9300	0.3000	0.0003	0.00	0.00
2016-09-02 21:00	       6	0.0692	0.1009	0.9300	0.3000	0.0003	0.00	0.00
2016-09-02 21:10	       6	0.0692	0.1009	0.9300	0.3000	0.0003	0.00	0.00
2016-09-02 21:20	       6	0.0692	0.1009	0.9300	0.2000	0.0002	0.00	0.00
2016-09-02 21:30	       6	0.0692	0.1009	0.9300	0.2000	0.0002	0.00	0.00
2016-09-02 21:40	       6	0.0692	0.1009	0.9300	0.5000	0.0005	0.00	0.00
2016-09-02 21:50	       6	0.0692	0.1009	0.9300	0.4000	0.0004	0.00	0.00
2016-09-02 22:00	       6	0.0692	0.1009	0.9300	0.3000	0.0003	0.00	0.00
2016-09-02 22:10	       6	0.0692	0.1009	0.9300	0.4000	0.0004	0.00	0.00
2016-09-02 22:20	       6	0.0692	0.1009	0.9300	0.2000	0.0002	0.00	0.00
2016-09-02 22:30	       6	0.0692	0.1009	0.9300	0.1000	0.0001	0.00	0.00
2016-09-02 22:40	       6	0.0692	0.1009	0.9300	0.7000	0.0007	0.00	0.00
2016-09-02 22:50	       6	0.0692	0.1009	0.9300	0.3000	0.0003	0.00	0.00
2016-09-02 23:00	       6	0.0692	0.1009	0.9300	0.1000	0.0001	0.00	0.00
2016-09-02 23:10	       6	0.0692	0.1009	0.9300	0.2000	0.0002	0.00	0.00
2016-09-02 23:20	       6	0.0692	0.1009	0.9300	0.6000	0.0006	0.00	0.00
2016-09-02 23:30	       6	0.0692	0.1009	0.9300	0.6000	0.0006	0.00	0.00
2016-09-02 23:40	       6	0.0692	0.1009	0.9300	0.9000	0.0009	0.00	0.00
2016-09-02 23:50	       6	0.0692	0.1009	0.9300	0.6000	0.0006	0.00	0.00
2016-09-03 00:00	       6	0.0692	0.1009	0.9300	0.4000	0.0004	0.00	0.00
2016-09-03 00:10	       6	0.0692	0.1009	0.9300	0.2000	0.0002	0.00	0.00
2016-09-03 00:20	       6	0.0692	0.1009	0.9300	0.2000	0.0002	0.00	0.00
2016-09-03 00:30	       6	0.0692	0.1009	0.9300	0.4000	0.0004	0.00	0.00
2016-09-03 00:40	       6	0.0692	0.1009	0.9300	0.5000	0.0005	0.00	0.00
2016-09-03 00:50	       6	0.0692	0.1009	0.9300	0.3993	0.0004	0.00	0.00
2016-09-03 01:00	       6	0.0692	0.1009	0.9300	0.3966	0.0004	0.00	0.00
2016-09-03 01:10	       6	0.0692	0.1009	0.9300	0.2059	0.0002	0.00	0.00
2016-09-03 01:20	       6	0.0692	0.1009	0.9300	0.2178	0.0002	0.00	0.00
