Project name : GHG500.gmp 	 2018-04-13 12:03 	 by GRMCore2018
Output data : All the results for watch point 'GHG_gh'

DataTime	Discharge[cms]	BaseFlowDepth[m]	SoilWaterContent[m]	SoilSatR	RFGrid	RFUpMean	FCData	FCResStor
2016-09-02 16:00	    8.45	0.3324	0.1043	1.0000	0.0000	0.0047	0.00	0.00
2016-09-02 16:10	    8.55	0.3425	0.1043	1.0000	0.0000	0.0004	0.00	0.00
2016-09-02 16:20	    8.69	0.3508	0.1043	1.0000	0.0000	0.0001	0.00	0.00
2016-09-02 16:30	    8.85	0.3580	0.1043	1.0000	0.1000	0.0280	0.00	0.00
2016-09-02 16:40	    9.03	0.3645	0.1043	1.0000	0.4000	0.1599	0.00	0.00
2016-09-02 16:50	    9.22	0.3706	0.1043	1.0000	0.2000	0.2074	0.00	0.00
2016-09-02 17:00	    9.41	0.3763	0.1043	1.0000	0.1000	0.1411	0.00	0.00
2016-09-02 17:10	     9.6	0.3818	0.1043	1.0000	0.3000	0.1646	0.00	0.00
2016-09-02 17:20	    9.81	0.3872	0.1043	1.0000	0.5000	0.1472	0.00	0.00
2016-09-02 17:30	   10.01	0.3925	0.1043	1.0000	0.3000	0.1425	0.00	0.00
2016-09-02 17:40	   10.22	0.3977	0.1043	1.0000	0.3000	0.1360	0.00	0.00
2016-09-02 17:50	   10.41	0.4028	0.1043	1.0000	0.2000	0.1066	0.00	0.00
2016-09-02 18:00	   10.61	0.4078	0.1043	1.0000	0.2000	0.1853	0.00	0.00
2016-09-02 18:10	    10.8	0.4127	0.1043	1.0000	0.1000	0.2564	0.00	0.00
2016-09-02 18:20	   10.99	0.4176	0.1043	1.0000	0.0000	0.1523	0.00	0.00
2016-09-02 18:30	   11.19	0.4223	0.1043	1.0000	0.1000	0.1942	0.00	0.00
2016-09-02 18:40	   11.38	0.4270	0.1043	1.0000	0.1000	0.3284	0.00	0.00
2016-09-02 18:50	   11.58	0.4317	0.1043	1.0000	0.2000	0.3605	0.00	0.00
