Project name : GHG500.gmp 	 2018-04-13 12:03 	 by GRMCore2018
Output data : All the results for watch point 'GHG_md'

DataTime	Discharge[cms]	BaseFlowDepth[m]	SoilWaterContent[m]	SoilSatR	RFGrid	RFUpMean	FCData	FCResStor
2016-09-02 16:00	      19	0.1171	0.0955	0.9276	0.0000	0.0026	0.00	0.00
2016-09-02 16:10	      19	0.1174	0.0953	0.9251	0.0000	0.0267	0.00	0.00
2016-09-02 16:20	      19	0.1176	0.0950	0.9227	0.0000	0.0715	0.00	0.00
2016-09-02 16:30	   19.06	0.1178	0.0951	0.9232	0.3000	0.1913	0.00	0.00
2016-09-02 16:40	   19.06	0.1180	0.0949	0.9218	0.1000	0.2172	0.00	0.00
2016-09-02 16:50	   19.06	0.1182	0.0948	0.9203	0.1000	0.1835	0.00	0.00
2016-09-02 17:00	   19.09	0.1184	0.0947	0.9199	0.2000	0.1429	0.00	0.00
2016-09-02 17:10	   19.08	0.1186	0.0945	0.9175	0.0000	0.1845	0.00	0.00
2016-09-02 17:20	   19.07	0.1188	0.0943	0.9151	0.0000	0.1301	0.00	0.00
2016-09-02 17:30	   19.13	0.1189	0.0943	0.9156	0.3000	0.1487	0.00	0.00
2016-09-02 17:40	   19.18	0.1191	0.0944	0.9161	0.3000	0.2414	0.00	0.00
2016-09-02 17:50	    19.2	0.1193	0.0943	0.9157	0.2000	0.1963	0.00	0.00
2016-09-02 18:00	   19.19	0.1194	0.0941	0.9133	0.0000	0.2301	0.00	0.00
2016-09-02 18:10	   19.21	0.1196	0.0939	0.9118	0.1000	0.2334	0.00	0.00
2016-09-02 18:20	   19.23	0.1197	0.0938	0.9104	0.1000	0.1521	0.00	0.00
2016-09-02 18:30	   19.27	0.1198	0.0937	0.9100	0.2000	0.2331	0.00	0.00
2016-09-02 18:40	   19.34	0.1200	0.0939	0.9115	0.4000	0.4097	0.00	0.00
2016-09-02 18:50	   19.45	0.1201	0.0942	0.9149	0.6000	0.5762	0.00	0.00
2016-09-02 19:00	   19.48	0.1203	0.0943	0.9154	0.3000	0.3452	0.00	0.00
2016-09-02 19:10	   19.54	0.1205	0.0944	0.9169	0.4000	0.3995	0.00	0.00
2016-09-02 19:20	   19.62	0.1206	0.0947	0.9194	0.5000	0.4046	0.00	0.00
2016-09-02 19:30	   19.91	0.1208	0.0960	0.9325	1.6000	0.3877	0.00	0.00
2016-09-02 19:40	   20.07	0.1210	0.0970	0.9417	1.2000	0.3672	0.00	0.00
2016-09-02 19:50	   20.04	0.1213	0.0969	0.9412	0.2000	0.3551	0.00	0.00
2016-09-02 20:00	   20.19	0.1215	0.0975	0.9465	0.8000	0.3724	0.00	0.00
2016-09-02 20:10	   20.23	0.1218	0.0975	0.9469	0.3000	0.3572	0.00	0.00
2016-09-02 20:20	    20.3	0.1220	0.0976	0.9474	0.3000	0.2728	0.00	0.00
2016-09-02 20:30	   20.42	0.1223	0.0978	0.9497	0.5000	0.3652	0.00	0.00
2016-09-02 20:40	   20.49	0.1225	0.0979	0.9502	0.3000	0.4101	0.00	0.00
2016-09-02 20:50	   20.54	0.1228	0.0978	0.9496	0.2000	0.4124	0.00	0.00
2016-09-02 21:00	   20.56	0.1230	0.0976	0.9471	0.0000	0.4634	0.00	0.00
2016-09-02 21:10	    20.6	0.1233	0.0973	0.9447	0.0000	0.2896	0.00	0.00
2016-09-02 21:20	   20.65	0.1235	0.0971	0.9432	0.1000	0.2619	0.00	0.00
2016-09-02 21:30	   20.72	0.1237	0.0971	0.9426	0.2000	0.2026	0.00	0.00
2016-09-02 21:40	   20.78	0.1240	0.0970	0.9421	0.2000	0.2304	0.00	0.00
2016-09-02 21:50	   20.84	0.1242	0.0970	0.9416	0.2000	0.2538	0.00	0.00
2016-09-02 22:00	   20.93	0.1244	0.0971	0.9430	0.4000	0.2694	0.00	0.00
2016-09-02 22:10	   21.08	0.1247	0.0976	0.9473	0.7000	0.2283	0.00	0.00
2016-09-02 22:20	   21.13	0.1249	0.0976	0.9478	0.3000	0.2245	0.00	0.00
2016-09-02 22:30	   21.19	0.1252	0.0977	0.9482	0.3000	0.2800	0.00	0.00
2016-09-02 22:40	   21.27	0.1254	0.0977	0.9486	0.3000	0.3481	0.00	0.00
2016-09-02 22:50	   21.34	0.1257	0.0977	0.9481	0.2000	0.3399	0.00	0.00
2016-09-02 23:00	   21.39	0.1259	0.0975	0.9466	0.1000	0.6041	0.00	0.00
2016-09-02 23:10	   21.44	0.1262	0.0972	0.9441	0.0000	0.5501	0.00	0.00
2016-09-02 23:20	   21.49	0.1264	0.0970	0.9416	0.0000	0.5180	0.00	0.00
2016-09-02 23:30	   21.54	0.1266	0.0967	0.9392	0.0000	0.3666	0.00	0.00
2016-09-02 23:40	    21.6	0.1269	0.0965	0.9367	0.0000	0.3329	0.00	0.00
2016-09-02 23:50	   21.67	0.1271	0.0963	0.9353	0.1000	0.2683	0.00	0.00
2016-09-03 00:00	   21.72	0.1273	0.0961	0.9328	0.0000	0.2376	0.00	0.00
2016-09-03 00:10	   21.76	0.1276	0.0958	0.9304	0.0000	0.2442	0.00	0.00
2016-09-03 00:20	   21.81	0.1278	0.0956	0.9279	0.0000	0.3090	0.00	0.00
2016-09-03 00:30	   21.87	0.1280	0.0953	0.9255	0.0000	0.3629	0.00	0.00
2016-09-03 00:40	   21.92	0.1282	0.0951	0.9231	0.0000	0.4349	0.00	0.00
2016-09-03 00:50	   21.99	0.1284	0.0949	0.9217	0.0998	0.4856	0.00	0.00
2016-09-03 01:00	   22.05	0.1286	0.0948	0.9202	0.0983	0.5159	0.00	0.00
2016-09-03 01:10	   22.09	0.1289	0.0945	0.9178	0.0000	0.2771	0.00	0.00
2016-09-03 01:20	   22.15	0.1291	0.0943	0.9155	0.0068	0.2666	0.00	0.00
2016-09-03 01:30	   22.24	0.1293	0.0942	0.9143	0.0822	0.3107	0.00	0.00
2016-09-03 01:40	   22.38	0.1295	0.0944	0.9161	0.3194	0.3470	0.00	0.00
2016-09-03 01:50	   22.61	0.1297	0.0951	0.9228	0.6618	0.3915	0.00	0.00
2016-09-03 02:00	   22.76	0.1300	0.0955	0.9268	0.4978	0.5249	0.00	0.00
2016-09-03 02:10	   22.88	0.1303	0.0956	0.9282	0.3566	0.6941	0.00	0.00
2016-09-03 02:20	   23.04	0.1305	0.0958	0.9305	0.3093	0.4000	0.00	0.00
2016-09-03 02:30	   23.34	0.1308	0.0967	0.9385	0.7835	0.4322	0.00	0.00
2016-09-03 02:40	   23.67	0.1311	0.0977	0.9486	1.1128	0.5274	0.00	0.00
2016-09-03 02:50	      24	0.1314	0.0987	0.9587	0.7289	0.5326	0.00	0.00
2016-09-03 03:00	    24.2	0.1317	0.0991	0.9620	0.4859	0.7999	0.00	0.00
2016-09-03 03:10	   24.45	0.1319	0.0994	0.9647	0.3291	0.7137	0.00	0.00
2016-09-03 03:20	   24.67	0.1322	0.0995	0.9660	0.3334	0.9850	0.00	0.00
2016-09-03 03:30	   24.88	0.1325	0.0995	0.9657	0.1467	0.6748	0.00	0.00
2016-09-03 03:40	   25.08	0.1328	0.0993	0.9641	0.0989	0.7793	0.00	0.00
2016-09-03 03:50	   25.29	0.1331	0.0992	0.9628	0.1083	0.6145	0.00	0.00
2016-09-03 04:00	   25.52	0.1334	0.0991	0.9622	0.1652	0.4416	0.00	0.00
2016-09-03 04:10	   25.74	0.1336	0.0991	0.9617	0.1640	0.3262	0.00	0.00
2016-09-03 04:20	      26	0.1339	0.0991	0.9625	0.2665	0.2441	0.00	0.00
2016-09-03 04:30	   26.39	0.1342	0.0998	0.9693	0.6843	0.2385	0.00	0.00
2016-09-03 04:40	    26.6	0.1345	0.0999	0.9696	0.2098	0.2744	0.00	0.00
2016-09-03 04:50	   26.82	0.1348	0.0998	0.9690	0.1450	0.3847	0.00	0.00
2016-09-03 05:00	   27.07	0.1351	0.0998	0.9685	0.1477	0.6615	0.00	0.00
2016-09-03 05:10	   27.35	0.1354	0.0997	0.9679	0.1517	0.7492	0.00	0.00
2016-09-03 05:20	   27.64	0.1356	0.0996	0.9672	0.1432	0.9434	0.00	0.00
2016-09-03 05:30	   27.94	0.1359	0.0995	0.9657	0.0945	1.0702	0.00	0.00
2016-09-03 05:40	   28.31	0.1362	0.0995	0.9661	0.2593	0.9892	0.00	0.00
2016-09-03 05:50	    28.8	0.1365	0.1000	0.9706	0.5922	0.8825	0.00	0.00
2016-09-03 06:00	   29.21	0.1368	0.1000	0.9713	0.2688	0.7877	0.00	0.00
2016-09-03 06:10	   29.62	0.1371	0.0999	0.9698	0.0919	0.8398	0.00	0.00
2016-09-03 06:20	   30.12	0.1374	0.0998	0.9690	0.1288	0.7118	0.00	0.00
2016-09-03 06:30	   30.67	0.1376	0.0997	0.9675	0.0885	0.7290	0.00	0.00
2016-09-03 06:40	   31.29	0.1379	0.0995	0.9657	0.0548	0.6349	0.00	0.00
2016-09-03 06:50	   31.97	0.1382	0.0992	0.9632	0.0000	0.6914	0.00	0.00
2016-09-03 07:00	   32.77	0.1385	0.0989	0.9606	0.0000	0.4554	0.00	0.00
2016-09-03 07:10	   33.67	0.1388	0.0987	0.9581	0.0000	0.2137	0.00	0.00
2016-09-03 07:20	   34.72	0.1391	0.0984	0.9556	0.0000	0.1627	0.00	0.00
2016-09-03 07:30	   35.94	0.1394	0.0982	0.9532	0.0000	0.0627	0.00	0.00
2016-09-03 07:40	   37.37	0.1396	0.0979	0.9507	0.0000	0.0503	0.00	0.00
2016-09-03 07:50	   39.07	0.1399	0.0977	0.9484	0.0225	0.0526	0.00	0.00
2016-09-03 08:00	   41.11	0.1402	0.0976	0.9478	0.1627	0.0687	0.00	0.00
2016-09-03 08:10	   43.49	0.1405	0.0975	0.9463	0.0778	0.1383	0.00	0.00
2016-09-03 08:20	    46.3	0.1408	0.0972	0.9438	0.0000	0.1525	0.00	0.00
2016-09-03 08:30	   49.66	0.1410	0.0970	0.9413	0.0000	0.1859	0.00	0.00
2016-09-03 08:40	   53.62	0.1413	0.0967	0.9388	0.0000	0.1746	0.00	0.00
2016-09-03 08:50	   58.26	0.1416	0.0964	0.9364	0.0000	0.0902	0.00	0.00
2016-09-03 09:00	   63.65	0.1419	0.0962	0.9339	0.0000	0.0354	0.00	0.00
2016-09-03 09:10	    69.8	0.1422	0.0959	0.9314	0.0000	0.0195	0.00	0.00
2016-09-03 09:20	   76.74	0.1424	0.0957	0.9290	0.0000	0.0190	0.00	0.00
2016-09-03 09:30	   84.45	0.1427	0.0954	0.9266	0.0000	0.0099	0.00	0.00
2016-09-03 09:40	   92.88	0.1430	0.0952	0.9241	0.0000	0.0033	0.00	0.00
2016-09-03 09:50	  101.97	0.1433	0.0949	0.9217	0.0000	0.0036	0.00	0.00
2016-09-03 10:00	  111.59	0.1436	0.0947	0.9193	0.0000	0.0004	0.00	0.00
2016-09-03 10:10	  121.62	0.1438	0.0944	0.9169	0.0000	0.0005	0.00	0.00
2016-09-03 10:20	  131.97	0.1441	0.0942	0.9145	0.0000	0.0020	0.00	0.00
2016-09-03 10:30	  142.51	0.1444	0.0939	0.9121	0.0000	0.0049	0.00	0.00
2016-09-03 10:40	  153.16	0.1447	0.0937	0.9097	0.0000	0.0056	0.00	0.00
2016-09-03 10:50	  163.87	0.1449	0.0935	0.9073	0.0000	0.0056	0.00	0.00
2016-09-03 11:00	   174.6	0.1452	0.0932	0.9049	0.0000	0.0044	0.00	0.00
2016-09-03 11:10	  185.42	0.1455	0.0930	0.9026	0.0000	0.0105	0.00	0.00
2016-09-03 11:20	  196.38	0.1458	0.0927	0.9002	0.0000	0.0166	0.00	0.00
2016-09-03 11:30	  207.61	0.1460	0.0925	0.8978	0.0000	0.0387	0.00	0.00
2016-09-03 11:40	  219.26	0.1463	0.0922	0.8955	0.0000	0.0849	0.00	0.00
2016-09-03 11:50	  231.56	0.1466	0.0920	0.8931	0.0000	0.0856	0.00	0.00
2016-09-03 12:00	  244.75	0.1468	0.0918	0.8908	0.0000	0.1333	0.00	0.00
2016-09-03 12:10	  259.14	0.1471	0.0915	0.8884	0.0000	0.1152	0.00	0.00
2016-09-03 12:20	  274.99	0.1474	0.0913	0.8861	0.0000	0.0761	0.00	0.00
2016-09-03 12:30	  292.65	0.1477	0.0910	0.8838	0.0000	0.0994	0.00	0.00
