Project name : SampleProject.gmp 	 2018-04-13 12:07 	 by GRMCore2018
Output data : Discharge[CMS]

DataTime	[MD]	Rainfall_Mean	FromStarting[sec]
0.00	94.63	0.00	0
1.00	94.7	0.20	0
2.00	95.2	0.20	0
3.00	96.04	0.26	0
4.00	96.72	0.26	0
5.00	96.96	0.47	0
6.00	96.47	0.20	0
7.00	95.34	0.00	1
8.00	94.14	0.53	1
9.00	93.22	0.38	1
10.00	93.01	0.59	1
11.00	93.26	0.48	1
12.00	94.2	2.61	1
13.00	95.82	4.65	2
14.00	97.8	4.72	2
15.00	100.31	4.22	2
16.00	103.2	2.32	2
17.00	107.98	3.58	2
18.00	116.48	3.32	2
19.00	131.13	2.05	2
20.00	154.68	7.77	3
21.00	186.52	10.40	3
22.00	242.97	8.92	3
23.00	369.69	9.70	3
24.00	601.67	8.65	3
25.00	814.54	7.32	3
26.00	952.37	4.41	4
27.00	977.68	1.38	4
28.00	933.02	2.03	4
29.00	849.6	2.70	4
30.00	749.42	1.54	4
31.00	652.72	0.16	4
32.00	568.79	0.46	5
33.00	498.67	0.12	5
34.00	438.98	0.21	5
35.00	385.72	0.15	5
36.00	339.49	0.33	5
37.00	301.03	0.33	5
38.00	269.7	0.08	6
39.00	244.26	0.00	6
40.00	223.57	0.01	6
41.00	206.7	0.00	6
42.00	192.77	0.12	6
43.00	181.03	0.37	6
44.00	170.86	0.48	6
45.00	161.76	0.14	7
46.00	153.64	0.21	7
47.00	146.47	0.32	7
48.00	140.14	0.18	7
49.00	134.6	0.05	7
50.00	129.78	0.00	7
51.00	125.56	0.00	8
52.00	121.82	0.00	8
53.00	118.48	0.00	8
54.00	115.46	0.00	8
55.00	112.71	0.00	8
56.00	110.18	0.00	8
57.00	107.84	0.00	9
58.00	105.66	0.00	9
59.00	103.65	0.00	9
60.00	101.78	0.00	9
61.00	100.04	0.00	9
62.00	98.42	0.00	9
63.00	96.91	0.00	9
64.00	95.51	0.00	10
65.00	94.19	0.00	10
66.00	92.96	0.00	10
67.00	91.81	0.00	10
68.00	90.72	0.00	10
69.00	89.69	0.00	10
70.00	88.71	0.00	11
71.00	87.79	0.00	11
72.00	86.91	0.00	11
73.00	86.07	0.00	11
74.00	85.27	0.00	11
75.00	84.5	0.00	11
76.00	83.77	0.00	12
77.00	83.07	0.00	12
78.00	82.39	0.00	12
79.00	81.74	0.00	12
80.00	81.11	0.00	12
