Project name : SampleProject.gmp 	 2018-04-13 12:07 	 by GRMCore2018
Output data : All the results for watch point 'MD'

DataTime	Discharge[cms]	BaseFlowDepth[m]	SoilWaterContent[m]	SoilSatR	RFGrid	RFUpMean	FCData	FCResStor
0.00	   94.63	0.5823	0.1043	1.0000	0.0000	0.0000	0.00	0.00
1.00	    94.7	0.6064	0.1043	1.0000	0.2000	0.2000	0.00	0.00
2.00	    95.2	0.6198	0.1043	1.0000	0.2000	0.2000	0.00	0.00
3.00	   96.04	0.6284	0.1043	1.0000	0.2600	0.2600	0.00	0.00
4.00	   96.72	0.6344	0.1043	1.0000	0.2600	0.2600	0.00	0.00
5.00	   96.96	0.6386	0.1043	1.0000	0.4700	0.4700	0.00	0.00
6.00	   96.47	0.6406	0.1043	1.0000	0.2000	0.2000	0.00	0.00
7.00	   95.34	0.6402	0.1043	1.0000	0.0000	0.0000	0.00	0.00
8.00	   94.14	0.6377	0.1043	1.0000	0.5300	0.5300	0.00	0.00
9.00	   93.22	0.6343	0.1043	1.0000	0.3800	0.3800	0.00	0.00
10.00	   93.01	0.6314	0.1043	1.0000	0.5900	0.5900	0.00	0.00
11.00	   93.26	0.6299	0.1043	1.0000	0.4800	0.4800	0.00	0.00
12.00	    94.2	0.6303	0.1043	1.0000	2.6100	2.6100	0.00	0.00
13.00	   95.82	0.6329	0.1043	1.0000	4.6500	4.6500	0.00	0.00
14.00	    97.8	0.6376	0.1043	1.0000	4.7200	4.7200	0.00	0.00
15.00	  100.31	0.6441	0.1043	1.0000	4.2200	4.2200	0.00	0.00
16.00	   103.2	0.6524	0.1043	1.0000	2.3200	2.3200	0.00	0.00
17.00	  107.98	0.6633	0.1043	1.0000	3.5800	3.5800	0.00	0.00
18.00	  116.48	0.6797	0.1043	1.0000	3.3200	3.3200	0.00	0.00
19.00	  131.13	0.7059	0.1043	1.0000	2.0500	2.0500	0.00	0.00
20.00	  154.68	0.7462	0.1043	1.0000	7.7700	7.7700	0.00	0.00
21.00	  186.52	0.8007	0.1043	1.0000	10.4000	10.4000	0.00	0.00
22.00	  242.97	0.8625	0.1043	1.0000	8.9200	8.9200	0.00	0.00
23.00	  369.69	0.9244	0.1043	1.0000	9.7000	9.7000	0.00	0.00
24.00	  601.67	0.9864	0.1043	1.0000	8.6500	8.6500	0.00	0.00
25.00	  814.54	1.0487	0.1043	1.0000	7.3200	7.3200	0.00	0.00
26.00	  952.37	1.1110	0.1043	1.0000	4.4100	4.4100	0.00	0.00
27.00	  977.68	1.1734	0.1043	1.0000	1.3800	1.3800	0.00	0.00
28.00	  933.02	1.2358	0.1043	1.0000	2.0300	2.0300	0.00	0.00
29.00	   849.6	1.2980	0.1043	1.0000	2.7000	2.7000	0.00	0.00
30.00	  749.42	1.3602	0.1043	1.0000	1.5400	1.5400	0.00	0.00
31.00	  652.72	1.4222	0.1043	1.0000	0.1600	0.1600	0.00	0.00
